Date,GHI
2017-01-07 03:00:00,0.0
2017-01-07 04:00:00,0.0
2017-01-07 05:00:00,0.0
2017-01-07 06:00:00,0.0
2017-01-07 07:00:00,28.640191164287355
2017-01-07 08:00:00,293.46950733718455
2017-01-07 09:00:00,488.91090601893677
2017-01-07 10:00:00,650.4573550581763
2017-01-07 11:00:00,748.5440241910678
2017-01-07 12:00:00,777.298978056426
2017-01-07 13:00:00,740.3824921934236
2017-01-07 14:00:00,640.2870400004246
2017-01-07 15:00:00,483.9812970074511
2017-01-07 16:00:00,296.48565801280284
2017-01-07 17:00:00,61.12699227439769
2017-01-07 18:00:00,5.263777461295035
2017-01-07 19:00:00,0.0
2017-01-07 20:00:00,0.0
2017-01-07 21:00:00,0.0
2017-01-07 22:00:00,0.0
2017-01-07 23:00:00,0.0
